,0
0,-810.1355026346891
1,-809.9213912282194
2,-741.2401133668709
3,-928.6813279117439
4,-894.07955867573
5,-894.5421501510467
6,-916.3561548014522
7,-910.0665658959218
8,-874.1418824779753
9,-782.0076889122079
10,-883.1371382339233
11,-813.71295831277
12,-852.888271609243
13,-941.9318696277093
14,-971.1471933942128
15,-845.523234015712
16,-866.9316176690231
17,-901.6522364095207
18,-896.8454934865506
19,-956.0207511181047
20,-892.3222390012124
21,-913.5096394634546
22,-887.69303812626
23,-930.5542070197605
24,-957.5348215198524
25,-913.7269560350283
26,-895.5958891454602
27,-877.1238637472945
28,-921.9796766296547
29,-860.4207962295687
30,-951.2077949748602
31,-953.5763960377365
32,-889.4564485460097
33,-927.4232085927067
34,-921.9825301286298
35,-908.3422691425574
36,-839.6084635169902
37,-937.1698005593267
38,-913.6923548059822
39,-944.617001946071
40,-976.2531768135312
41,-967.4752577592122
42,-986.3563657338053
43,-974.372563663547
44,-986.4278234178736
45,-974.1420891264421
46,-982.2830098678818
47,-991.3422818540847
48,-943.6261877864304
49,-961.9435065822676
50,-976.9706781428752
51,-951.3231942629203
52,-971.1896573433078
53,-979.8316491013863
54,-952.5659257907536
55,-979.4139185405548
56,-957.6475625933522
57,-968.736411512303
58,-989.6505835409002
59,-961.033632171949
60,-952.8474462410682
61,-189.2403014345433
62,-916.5551437143037
63,-823.2169483655647
64,-957.2308757546309
65,-299.09729683681496
66,-513.5051382463603
67,-599.224483252456
68,-896.3647344231613
69,-959.6900354903538
70,-941.6876515636104
71,-961.1891018483194
72,-906.3322492994287
73,-969.0527300090822
74,-906.6081349769104
75,-934.8080221112742
76,-406.07922108339847
77,-942.8405868916136
78,-969.4998834175858
79,-941.7812727616895
80,-975.7779265726376
81,-951.2467835202697
82,835.5030027746948
83,-913.6913324151826
84,-890.0302414958433
85,-885.2449291800942
86,-861.4185413478779
87,-927.5847218312424
88,-752.1742547701651
89,-941.3912039685357
90,-930.917455209587
91,-896.3792325904132
92,-904.6637333156953
93,-885.1254636338001
94,-931.6198283132072
95,-914.2212717589449
96,-897.3227002458245
97,-922.4325910409341
